2081, 2081
[-1.#IND; -1.#IND; -1.#IND]
[-1.#IND; -1.#IND; -1.#IND]
[-687.02667; 634.14264; 1]
[-230.96954; 1613.5377; 1]
[-1334.0024; -995.39514; 0.99999994]
[1154.908; 780.67896; 1]
[555.79498; 890.53778; 1]
[467.12686; -962.88226; 1]
[2209.8035; 620.3374; 1]
[794.41589; -322.24725; 1]
[456.18286; 82.898476; 1]
[389.52151; -199.60661; 1]
[2309.6077; 1167.1587; 1]
[1325.5846; -374.63858; 1]
[668.26862; 244.87668; 1]
[679.52734; -442.52298; 1]
[-1834.6401; -128.21904; 1]
[-791.62512; 3207.094; 1]
[979.36395; -545.21167; 1]
[-1193.9517; 1213.9164; 1]
[-1569.0009; -785.15118; 1]
[-2567.4053; -178.41354; 1]
[-2763.4209; 364.18213; 1]
[1017.5731; -902.77515; 1]
[3325.4578; 1610.3325; 1]
[3533.0369; -2606.8667; 1]
[2305.6824; -2765.8413; 1]
[890.47858; -13836.503; 1]
[11501.283; 38579.203; 1]
[1200.0422; -1089.0627; 1]
[643.62921; -3415.5872; 1]
[137.84686; -2042.3029; 1]
[1225.3113; 261.25372; 1]
[-198.00836; -465.96979; 1]
[945.53204; -1573.4952; 1]
[889.67261; -441.85068; 1]
[931.22864; -686.66675; 1]
[1131.7788; 263.495; 0.99999994]
[542.46631; -1050.6782; 1]
[1794.3179; 7872.3438; 1]
[2744.9504; -15513.942; 1]
[176.41141; -1326.3853; 0.99999994]
[23738.922; 58401.711; 1]
[1886.7317; 3026.2554; 1]
[1453.9445; 726.94006; 1]
[2229.8047; 1413.8073; 0.99999994]
[4879.165; 1685.5059; 1]
[1728.5729; 1658.8542; 1]
[1086.8732; 1186.7019; 1]
[1052.7582; -287.23462; 0.99999994]
[1056.2609; 448.43097; 1]
[939.04913; -1064.1813; 1]
[1089.8566; -1193.4525; 1]
[1016.2088; 1272.047; 0.99999994]
[878.97375; 69.048065; 1]
[743.9082; 562.1579; 1]
[670.09601; 1048.6846; 1]
[558.0542; 833.80109; 0.99999994]
[557.45782; 16.540047; 1]
[565.67346; 91.625954; 1]
[321.28992; 476.56094; 1]
[396.40063; 343.27988; 1]
[428.48471; 211.5867; 1]
[339.70029; 84.732704; 1]
[246.68651; 368.17508; 1]
[277.45352; 488.47351; 1]
[362.01443; 18.850204; 0.99999994]
[250.83739; 1127.978; 1]
[365.13287; 1139.4188; 1]
[460.84058; 785.02087; 1]
[443.89764; 744.04443; 1]
[465.33026; 789.41327; 0.99999994]
[541.16693; 776.65332; 1]
[504.33887; 772.37; 1]
[484.93427; 342.44601; 1]
[544.9881; -59.599941; 1]
[462.28564; 6.607739; 1]
[561.80371; -305.21161; 1]
[537.22748; -686.86621; 1]
[199.66727; -1391.0967; 1]
[74.551048; -2814.2505; 0.99999994]
[1290.3135; 5282.3638; 1]
[390.02469; 1144.7305; 1]
[303.22641; 855.47644; 1]
[213.66388; 704.78802; 1]
[197.29309; 674.50311; 1]
[123.20724; 611.41107; 1]
[120.84544; 539.60559; 1]
[128.12421; 485.65451; 1]
[147.01329; 475.23712; 0.99999994]
[134.23392; 546.92163; 1]
[140.01387; 524.63629; 1]
[145.35434; 494.76001; 1]
[121.29645; 463.67371; 0.99999994]
[114.0589; 429.25946; 0.99999994]
[84.004684; 429.34476; 1]
[56.385269; 430.43472; 1]
[19.280478; 413.90973; 1]
[-14.620939; 427.12842; 1]
[-31.873421; 416.80554; 1]
[-60.601357; 417.30353; 1]
[-83.653358; 418.5509; 1]
[-110.04977; 409.70569; 1]
[-125.55979; 406.31732; 1]
